year,Bucket,Count,Percentage
2023,Government Schemes & Insurance,729296,21.29
2023,Crop Production Practices,289219,8.44
2023,Markets & Post-Harvest,108198,3.16
2023,Machinery & Infrastructure,10872,0.32
2023,Others,6965,0.2
2023,"Training, Nursery & Horticulture",3218,0.09
2023,Fisheries & Aquaculture,1873,0.05
2023,Livestock & Dairy,1726,0.05
2024,Crop Protection & Inputs,1002238,30.99
2024,Weather & Climate,908354,28.09
2024,Government Schemes & Insurance,708234,21.9
2024,Crop Production Practices,504165,15.59
2024,Markets & Post-Harvest,88952,2.75
2024,Machinery & Infrastructure,8504,0.26
2024,Others,6203,0.19
2024,"Training, Nursery & Horticulture",3966,0.12
2024,Livestock & Dairy,1964,0.06
2024,Fisheries & Aquaculture,1481,0.05
2025,Crop Protection & Inputs,435199,27.51
2025,Government Schemes & Insurance,429078,27.13
2025,Crop Production Practices,359051,22.7
2025,Weather & Climate,271977,17.19
2025,Markets & Post-Harvest,55103,3.48
2025,Unclassified,18945,1.2
2025,Others,4469,0.28
2025,Machinery & Infrastructure,4323,0.27
2025,"Training, Nursery & Horticulture",1881,0.12
2025,Livestock & Dairy,1179,0.07
2025,Fisheries & Aquaculture,546,0.03
