Crop,Question Theme,Count,Percentage
Khesari chickling vetch grass pea,information about weather forecast of block in districtjaunpur,118,12.127440904419322
Khesari chickling vetch grass pea,information about weather forecast of block inmadhaoganj districthardoi,110,11.30524152106886
Khesari chickling vetch grass pea,weather information,81,8.324768756423433
Khesari chickling vetch grass pea,plant diseaseattack in crop,69,7.091469681397738
Khesari chickling vetch grass pea,whet ki varieties,57,5.858170606372045
