Crop,Question Theme,Count,Percentage
Amarphophallus (Surankand/Elephant Foot Yam),information about sowing time in any vegetable crop,18,25.71428571428571
Amarphophallus (Surankand/Elephant Foot Yam),seed rate and seed treatment,12,17.142857142857142
Amarphophallus (Surankand/Elephant Foot Yam),plant diseaseattack in crop,11,15.714285714285714
Amarphophallus (Surankand/Elephant Foot Yam),pls tell me control of flower dropping in chilli crop,6,8.571428571428571
Amarphophallus (Surankand/Elephant Foot Yam),farmer asked query on weather,5,7.142857142857142
