Crop,Question Theme,Count,Percentage
Italian Millet ThenaiNavaneFoxtail MilletKang,weather information,163,28.90070921985816
Italian Millet ThenaiNavaneFoxtail MilletKang,mausam ki jankari,49,8.687943262411348
Italian Millet ThenaiNavaneFoxtail MilletKang,mausaam ke bare me bataye,36,6.382978723404255
Italian Millet ThenaiNavaneFoxtail MilletKang,pleas give information of govt scheme,32,5.673758865248227
Italian Millet ThenaiNavaneFoxtail MilletKang,mosam ki jankari ki jankari,24,4.25531914893617
