Crop,Question Theme,Count,Percentage
Bengal Gram GramChick PeaKabuliChana,pls tell me control of flower dropping in chilli crop,4744,10.618439017839156
Bengal Gram GramChick PeaKabuliChana,insect control in  crops,4741,10.611724153367504
Bengal Gram GramChick PeaKabuliChana,plant diseaseattack in crop,2683,6.005327125814177
Bengal Gram GramChick PeaKabuliChana,farmer asked query on weather,2561,5.732255970633659
Bengal Gram GramChick PeaKabuliChana,dhan me ki kida laga hai,2459,5.503950578597489
