Crop,Question Theme,Count,Percentage
Peas (field peas/ garden peas/matar),farmer asked query on weather,317,53.45699831365936
Peas (field peas/ garden peas/matar),pls tell me control of flower dropping in chilli crop,103,17.36930860033727
Peas (field peas/ garden peas/matar),plant diseaseattack in crop,31,5.227655986509275
Peas (field peas/ garden peas/matar),insect control in  crops,19,3.204047217537943
Peas (field peas/ garden peas/matar),information about fertilizer dose im wheat crop,16,2.6981450252951094
