Crop,Question Theme,Count,Percentage
Common Millet PanivaraguChenaProso MilletHogm,weather information,441,26.972477064220183
Common Millet PanivaraguChenaProso MilletHogm,mausam ki jankari,243,14.862385321100918
Common Millet PanivaraguChenaProso MilletHogm,informaion about of wheat crop variety,68,4.159021406727828
Common Millet PanivaraguChenaProso MilletHogm,pleas give information of govt scheme,67,4.097859327217125
Common Millet PanivaraguChenaProso MilletHogm,seed rate and seed treatment,63,3.853211009174312
