Crop,Question Theme,Count,Percentage
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),insect control in  crops,4449,37.04721458905821
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),dhan me ki kida laga hai,1071,8.918311266550088
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),potatao ki variety ki jankri,839,6.986426846531768
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),information about control of top borer and stem borer in sugarcane crop,786,6.545091181613789
Bengal Gram (Gram/Chick Pea/Kabuli/Chana),pls tell me control of flower dropping in chilli crop,674,5.612457323673911
