Crop,Question Theme,Count,Percentage
Groundnut (pea nut/mung phalli),farmer asked query on weather,2274,68.22682268226824
Groundnut (pea nut/mung phalli),tell me weed control in wheat crop,173,5.190519051905191
Groundnut (pea nut/mung phalli),information about sowing time in any vegetable crop,167,5.0105010501050105
Groundnut (pea nut/mung phalli),information about fertilizer dose im wheat crop,120,3.6003600360036003
Groundnut (pea nut/mung phalli),insect control in  crops,117,3.5103510351035103
