Crop,Question Theme,Count,Percentage
Amarphophallus SurankandElephant Foot Yam,insect control in  crops,223,9.154351395730703
Amarphophallus SurankandElephant Foot Yam,information about sowing time in any vegetable crop,223,9.154351395730703
Amarphophallus SurankandElephant Foot Yam,plant diseaseattack in crop,168,6.896551724137931
Amarphophallus SurankandElephant Foot Yam,dhan ki kaun c kism ki buayi kare,152,6.239737274220033
Amarphophallus SurankandElephant Foot Yam,potatao ki variety ki jankri,150,6.157635467980295
