Crop,Question Theme,Count,Percentage
Little Millet SamaiKutkikodo-kutki,farmer asked query on weather,89,13.928012519561817
Little Millet SamaiKutkikodo-kutki,weather information,76,11.89358372456964
Little Millet SamaiKutkikodo-kutki,information about sowing time in any vegetable crop,39,6.103286384976526
Little Millet SamaiKutkikodo-kutki,dhan ki kaun c kism ki buayi kare,33,5.164319248826291
Little Millet SamaiKutkikodo-kutki,pls tell me control of flower dropping in chilli crop,31,4.851330203442879
