Crop,Question Theme,Count,Percentage
Pearl Millet BajraBulrush MilletSpiked Millet,farmer asked query on weather,9897,27.97896700873548
Pearl Millet BajraBulrush MilletSpiked Millet,whet ki varieties,2781,7.861928589602239
Pearl Millet BajraBulrush MilletSpiked Millet,tell me weed control in wheat crop,2622,7.412433211771691
Pearl Millet BajraBulrush MilletSpiked Millet,information about sowing time in any vegetable crop,1764,4.986854380459673
Pearl Millet BajraBulrush MilletSpiked Millet,information about weather forecast of block in districtjaunpur,1718,4.856811692533854
