Crop,Question Theme,Count,Percentage
Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),farmer asked query on weather,1621,38.39412600663193
Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),whet ki varieties,494,11.700615821885362
Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),potatao ki variety ki jankri,415,9.829464708668876
Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),dhan ki kaun c kism ki buayi kare,309,7.318806252960681
Pearl Millet (Bajra/Bulrush Millet/Spiked Millet),seed rate and seed treatment,221,5.234486025580294
