Crop,Question Theme,Count,Percentage
Avacado,pls tell me control of flower dropping in chilli crop,37,21.38728323699422
Avacado,dhan ki kaun c kism ki buayi kare,20,11.560693641618498
Avacado,aame ki pati kala ho raha hai,18,10.404624277456648
Avacado,dhan me ki kida laga hai,9,5.202312138728324
Avacado,mausam ki jankari,9,5.202312138728324
