Crop,Question Theme,Count,Percentage
Indian Clover Senji Sweet Clover,pls tell me control of flower dropping in chilli crop,80,17.20430107526882
Indian Clover Senji Sweet Clover,pleas give information of govt scheme,50,10.75268817204301
Indian Clover Senji Sweet Clover,mosam ki jankari ki jankari,44,9.46236559139785
Indian Clover Senji Sweet Clover,information about  mentha is planted in the crop,40,8.60215053763441
Indian Clover Senji Sweet Clover,dhan ki kaun c kism ki buayi kare,34,7.311827956989248
